"","coef_elastic","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross","s0","tcross"
"ZNF594",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"MIR4762",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"SLC8A1.AS1",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"CCDC152",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"KIF3A",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"TRAV4",NA,-0.173522196344847,1,-0.291763320828771,2,-0.184046537332749,3,-0.0621907459593468,4,-0.194672104019033,5,-0.194672104019033,6,-0.184046537332749,7,-0.215968654542972,8,-0.0569752075213385,9,-0.173522196344847,10,-0.205347983634174,11,-0.0676574045955984,12,-0.237041297383436,13,-0.194672104019033,14,-0.205347983634174,15,-0.173522196344847,16,-0.16279939549394,17,-0.11980676784045,18,-0.16279939549394,19,-0.237041297383436,20,-0.0676574045955984,21,-0.11042669459012,22,-0.173522196344847,23,-0.0676574045955984,24,-0.102382115435818,25,-0.11980676784045,26,-0.194672104019033,27,-0.130124247951356,28,-0.11042669459012,29,-0.151765612748769,30
"PCDHGB5",NA,-0.0865777981630459,1,-0.142319034036767,2,-0.0912531944327488,3,-0.0290123041892213,4,-0.096650264868908,5,-0.096650264868908,6,-0.0912531944327488,7,-0.106812095427433,8,-0.0251469141336004,9,-0.0865777981630459,10,-0.101739249411598,11,-0.0324688750855387,12,-0.116838645045255,13,-0.096650264868908,14,-0.101739249411598,15,-0.0865777981630459,16,-0.0821035980359528,17,-0.0667277465897564,18,-0.0821035980359528,19,-0.116838645045255,20,-0.0324688750855387,21,-0.0632462929899392,22,-0.0865777981630459,23,-0.0324688750855387,24,-0.0583133951769294,25,-0.0667277465897564,26,-0.096650264868908,27,-0.0702515078838097,28,-0.0632462929899392,29,-0.0776510448954345,30
"MED12L",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"ZNF605",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
"SLC25A4",NA,0,1,0,2,0,3,0,4,0,5,0,6,0,7,0,8,0,9,0,10,0,11,0,12,0,13,0,14,0,15,0,16,0,17,0,18,0,19,0,20,0,21,0,22,0,23,0,24,0,25,0,26,0,27,0,28,0,29,0,30
